id,trade_ref,instrument_id,counterparty_id,asset_class,side,quantity,price,trade_date,status
26,TRD000026,7,7,FX,SELL,126,76,2026-01-06,DISPUTED
27,TRD000027,8,8,EQUITY,BUY,127,77,2026-01-07,PENDING
28,TRD000028,9,9,BOND,SELL,128,78,2026-01-08,MATCHED
29,TRD000029,10,10,FX,BUY,129,79,2026-01-09,UNMATCHED
30,TRD000030,1,1,EQUITY,SELL,130,80,2026-01-10,DISPUTED
31,TRD000031,2,2,BOND,BUY,131,81,2026-01-11,PENDING
32,TRD000032,3,3,FX,SELL,132,82,2026-01-12,MATCHED
33,TRD000033,4,4,EQUITY,BUY,133,83,2026-01-13,UNMATCHED
34,TRD000034,5,5,BOND,SELL,134,84,2026-01-14,DISPUTED
35,TRD000035,6,6,FX,BUY,135,85,2026-01-15,PENDING
36,TRD000036,7,7,EQUITY,SELL,136,86,2026-01-16,MATCHED
37,TRD000037,8,8,BOND,BUY,137,87,2026-01-17,UNMATCHED
38,TRD000038,9,9,FX,SELL,138,88,2026-01-18,DISPUTED
39,TRD000039,10,10,EQUITY,BUY,139,89,2026-01-19,PENDING
40,TRD000040,1,1,BOND,SELL,140,90,2026-01-20,MATCHED
41,TRD000041,2,2,FX,BUY,141,91,2026-01-01,UNMATCHED
42,TRD000042,3,3,EQUITY,SELL,142,92,2026-01-02,DISPUTED
43,TRD000043,4,4,BOND,BUY,143,93,2026-01-03,PENDING
44,TRD000044,5,5,FX,SELL,144,94,2026-01-04,MATCHED
45,TRD000045,6,6,EQUITY,BUY,145,95,2026-01-05,UNMATCHED
46,TRD000046,7,7,BOND,SELL,146,96,2026-01-06,DISPUTED
47,TRD000047,8,8,FX,BUY,147,97,2026-01-07,PENDING
48,TRD000048,9,9,EQUITY,SELL,148,98,2026-01-08,MATCHED
49,TRD000049,10,10,BOND,BUY,149,99,2026-01-09,UNMATCHED
50,TRD000050,1,1,FX,SELL,150,100,2026-01-10,DISPUTED
51,TRD000051,2,2,EQUITY,BUY,151,101,2026-01-11,PENDING
52,TRD000052,3,3,BOND,SELL,152,102,2026-01-12,MATCHED
53,TRD000053,4,4,FX,BUY,153,103,2026-01-13,UNMATCHED
54,TRD000054,5,5,EQUITY,SELL,154,104,2026-01-14,DISPUTED
55,TRD000055,6,6,BOND,BUY,155,105,2026-01-15,PENDING
56,TRD000056,7,7,FX,SELL,156,106,2026-01-16,MATCHED
57,TRD000057,8,8,EQUITY,BUY,157,107,2026-01-17,UNMATCHED
58,TRD000058,9,9,BOND,SELL,158,108,2026-01-18,DISPUTED
59,TRD000059,10,10,FX,BUY,159,109,2026-01-19,PENDING
60,TRD000060,1,1,EQUITY,SELL,160,110,2026-01-20,MATCHED
61,TRD000061,2,2,BOND,BUY,161,111,2026-01-01,UNMATCHED
62,TRD000062,3,3,FX,SELL,162,112,2026-01-02,DISPUTED
63,TRD000063,4,4,EQUITY,BUY,163,113,2026-01-03,PENDING
64,TRD000064,5,5,BOND,SELL,164,114,2026-01-04,MATCHED
65,TRD000065,6,6,FX,BUY,165,115,2026-01-05,UNMATCHED
66,TRD000066,7,7,EQUITY,SELL,166,116,2026-01-06,DISPUTED
67,TRD000067,8,8,BOND,BUY,167,117,2026-01-07,PENDING
68,TRD000068,9,9,FX,SELL,168,118,2026-01-08,MATCHED
69,TRD000069,10,10,EQUITY,BUY,169,119,2026-01-09,UNMATCHED
70,TRD000070,1,1,BOND,SELL,170,120,2026-01-10,DISPUTED
71,TRD000071,2,2,FX,BUY,171,121,2026-01-11,PENDING
72,TRD000072,3,3,EQUITY,SELL,172,122,2026-01-12,MATCHED
73,TRD000073,4,4,BOND,BUY,173,123,2026-01-13,UNMATCHED
74,TRD000074,5,5,FX,SELL,174,124,2026-01-14,DISPUTED
75,TRD000075,6,6,EQUITY,BUY,175,125,2026-01-15,PENDING
76,TRD000076,7,7,BOND,SELL,176,126,2026-01-16,MATCHED
77,TRD000077,8,8,FX,BUY,177,127,2026-01-17,UNMATCHED
78,TRD000078,9,9,EQUITY,SELL,178,128,2026-01-18,DISPUTED
79,TRD000079,10,10,BOND,BUY,179,129,2026-01-19,PENDING
80,TRD000080,1,1,FX,SELL,180,130,2026-01-20,MATCHED
81,TRD000081,2,2,EQUITY,BUY,181,131,2026-01-01,UNMATCHED
82,TRD000082,3,3,BOND,SELL,182,132,2026-01-02,DISPUTED
83,TRD000083,4,4,FX,BUY,183,133,2026-01-03,PENDING
84,TRD000084,5,5,EQUITY,SELL,184,134,2026-01-04,MATCHED
85,TRD000085,6,6,BOND,BUY,185,135,2026-01-05,UNMATCHED
86,TRD000086,7,7,FX,SELL,186,136,2026-01-06,DISPUTED
87,TRD000087,8,8,EQUITY,BUY,187,137,2026-01-07,PENDING
88,TRD000088,9,9,BOND,SELL,188,138,2026-01-08,MATCHED
89,TRD000089,10,10,FX,BUY,189,139,2026-01-09,UNMATCHED
90,TRD000090,1,1,EQUITY,SELL,190,140,2026-01-10,DISPUTED
91,TRD000091,2,2,BOND,BUY,191,141,2026-01-11,PENDING
92,TRD000092,3,3,FX,SELL,192,142,2026-01-12,MATCHED
93,TRD000093,4,4,EQUITY,BUY,193,143,2026-01-13,UNMATCHED
94,TRD000094,5,5,BOND,SELL,194,144,2026-01-14,DISPUTED
95,TRD000095,6,6,FX,BUY,195,145,2026-01-15,PENDING
96,TRD000096,7,7,EQUITY,SELL,196,146,2026-01-16,MATCHED
97,TRD000097,8,8,BOND,BUY,197,147,2026-01-17,UNMATCHED
98,TRD000098,9,9,FX,SELL,198,148,2026-01-18,DISPUTED
99,TRD000099,10,10,EQUITY,BUY,199,149,2026-01-19,PENDING
100,TRD000100,1,1,BOND,SELL,200,150,2026-01-20,MATCHED
101,TRD000101,2,2,FX,BUY,201,151,2026-01-01,UNMATCHED
102,TRD000102,3,3,EQUITY,SELL,202,152,2026-01-02,DISPUTED
103,TRD000103,4,4,BOND,BUY,203,153,2026-01-03,PENDING
104,TRD000104,5,5,FX,SELL,204,154,2026-01-04,MATCHED
105,TRD000105,6,6,EQUITY,BUY,205,155,2026-01-05,UNMATCHED
106,TRD000106,7,7,BOND,SELL,206,156,2026-01-06,DISPUTED
107,TRD000107,8,8,FX,BUY,207,157,2026-01-07,PENDING
108,TRD000108,9,9,EQUITY,SELL,208,158,2026-01-08,MATCHED
109,TRD000109,10,10,BOND,BUY,209,159,2026-01-09,UNMATCHED
110,TRD000110,1,1,FX,SELL,210,160,2026-01-10,DISPUTED
111,TRD000111,2,2,EQUITY,BUY,211,161,2026-01-11,PENDING
112,TRD000112,3,3,BOND,SELL,212,162,2026-01-12,MATCHED
113,TRD000113,4,4,FX,BUY,213,163,2026-01-13,UNMATCHED
114,TRD000114,5,5,EQUITY,SELL,214,164,2026-01-14,DISPUTED
115,TRD000115,6,6,BOND,BUY,215,165,2026-01-15,PENDING
116,TRD000116,7,7,FX,SELL,216,166,2026-01-16,MATCHED
117,TRD000117,8,8,EQUITY,BUY,217,167,2026-01-17,UNMATCHED
118,TRD000118,9,9,BOND,SELL,218,168,2026-01-18,DISPUTED
119,TRD000119,10,10,FX,BUY,219,169,2026-01-19,PENDING
120,TRD000120,1,1,EQUITY,SELL,220,170,2026-01-20,MATCHED
121,TRD000121,2,2,BOND,BUY,221,171,2026-01-01,UNMATCHED
122,TRD000122,3,3,FX,SELL,222,172,2026-01-02,DISPUTED
123,TRD000123,4,4,EQUITY,BUY,223,173,2026-01-03,PENDING
124,TRD000124,5,5,BOND,SELL,224,174,2026-01-04,MATCHED
125,TRD000125,6,6,FX,BUY,225,175,2026-01-05,UNMATCHED
126,TRD000126,7,7,EQUITY,SELL,226,176,2026-02-01,DISPUTED
127,TRD000127,8,8,BOND,BUY,227,177,2026-02-02,PENDING
128,TRD000128,9,9,FX,SELL,228,178,2026-02-03,MATCHED
129,TRD000129,10,10,EQUITY,BUY,229,179,2026-02-04,UNMATCHED
130,TRD000130,1,1,BOND,SELL,230,180,2026-02-05,DISPUTED
131,TRD000131,2,2,FX,BUY,231,181,2026-02-06,PENDING
132,TRD000132,3,3,EQUITY,SELL,232,182,2026-02-07,MATCHED
133,TRD000133,4,4,BOND,BUY,233,183,2026-02-08,UNMATCHED
134,TRD000134,5,5,FX,SELL,234,184,2026-02-09,DISPUTED
135,TRD000135,6,6,EQUITY,BUY,235,185,2026-02-10,PENDING
136,TRD000136,7,7,BOND,SELL,236,186,2026-02-11,MATCHED
137,TRD000137,8,8,FX,BUY,237,187,2026-02-12,UNMATCHED
138,TRD000138,9,9,EQUITY,SELL,238,188,2026-02-13,DISPUTED
139,TRD000139,10,10,BOND,BUY,239,189,2026-02-14,PENDING
140,TRD000140,1,1,FX,SELL,240,190,2026-02-15,MATCHED
141,TRD000141,2,2,EQUITY,BUY,241,191,2026-02-16,UNMATCHED
142,TRD000142,3,3,BOND,SELL,242,192,2026-02-17,DISPUTED
143,TRD000143,4,4,FX,BUY,243,193,2026-02-18,PENDING
144,TRD000144,5,5,EQUITY,SELL,244,194,2026-02-19,MATCHED
145,TRD000145,6,6,BOND,BUY,245,195,2026-02-20,UNMATCHED
146,TRD000146,7,7,FX,SELL,246,196,2026-02-01,DISPUTED
147,TRD000147,8,8,EQUITY,BUY,247,197,2026-02-02,PENDING
148,TRD000148,9,9,BOND,SELL,248,198,2026-02-03,MATCHED
149,TRD000149,10,10,FX,BUY,249,199,2026-02-04,UNMATCHED
150,TRD000150,1,1,EQUITY,SELL,250,200,2026-02-05,DISPUTED
151,TRD000151,2,2,BOND,BUY,251,201,2026-02-06,PENDING
152,TRD000152,3,3,FX,SELL,252,202,2026-02-07,MATCHED
153,TRD000153,4,4,EQUITY,BUY,253,203,2026-02-08,UNMATCHED
154,TRD000154,5,5,BOND,SELL,254,204,2026-02-09,DISPUTED
155,TRD000155,6,6,FX,BUY,255,205,2026-02-10,PENDING
156,TRD000156,7,7,EQUITY,SELL,256,206,2026-02-11,MATCHED
157,TRD000157,8,8,BOND,BUY,257,207,2026-02-12,UNMATCHED
158,TRD000158,9,9,FX,SELL,258,208,2026-02-13,DISPUTED
159,TRD000159,10,10,EQUITY,BUY,259,209,2026-02-14,PENDING
160,TRD000160,1,1,BOND,SELL,260,210,2026-02-15,MATCHED
161,TRD000161,2,2,FX,BUY,261,211,2026-02-16,UNMATCHED
162,TRD000162,3,3,EQUITY,SELL,262,212,2026-02-17,DISPUTED
163,TRD000163,4,4,BOND,BUY,263,213,2026-02-18,PENDING
164,TRD000164,5,5,FX,SELL,264,214,2026-02-19,MATCHED
165,TRD000165,6,6,EQUITY,BUY,265,215,2026-02-20,UNMATCHED
166,TRD000166,7,7,BOND,SELL,266,216,2026-02-01,DISPUTED
167,TRD000167,8,8,FX,BUY,267,217,2026-02-02,PENDING
168,TRD000168,9,9,EQUITY,SELL,268,218,2026-02-03,MATCHED
169,TRD000169,10,10,BOND,BUY,269,219,2026-02-04,UNMATCHED
170,TRD000170,1,1,FX,SELL,270,220,2026-02-05,DISPUTED
171,TRD000171,2,2,EQUITY,BUY,271,221,2026-02-06,PENDING
172,TRD000172,3,3,BOND,SELL,272,222,2026-02-07,MATCHED
173,TRD000173,4,4,FX,BUY,273,223,2026-02-08,UNMATCHED
174,TRD000174,5,5,EQUITY,SELL,274,224,2026-02-09,DISPUTED
175,TRD000175,6,6,BOND,BUY,275,225,2026-02-10,PENDING
176,TRD000176,7,7,FX,SELL,276,226,2026-02-11,MATCHED
177,TRD000177,8,8,EQUITY,BUY,277,227,2026-02-12,UNMATCHED
178,TRD000178,9,9,BOND,SELL,278,228,2026-02-13,DISPUTED
179,TRD000179,10,10,FX,BUY,279,229,2026-02-14,PENDING
180,TRD000180,1,1,EQUITY,SELL,280,230,2026-02-15,MATCHED
181,TRD000181,2,2,BOND,BUY,281,231,2026-02-16,UNMATCHED
182,TRD000182,3,3,FX,SELL,282,232,2026-02-17,DISPUTED
183,TRD000183,4,4,EQUITY,BUY,283,233,2026-02-18,PENDING
184,TRD000184,5,5,BOND,SELL,284,234,2026-02-19,MATCHED
185,TRD000185,6,6,FX,BUY,285,235,2026-02-20,UNMATCHED
186,TRD000186,7,7,EQUITY,SELL,286,236,2026-02-01,DISPUTED
187,TRD000187,8,8,BOND,BUY,287,237,2026-02-02,PENDING
188,TRD000188,9,9,FX,SELL,288,238,2026-02-03,MATCHED
189,TRD000189,10,10,EQUITY,BUY,289,239,2026-02-04,UNMATCHED
190,TRD000190,1,1,BOND,SELL,290,240,2026-02-05,DISPUTED
191,TRD000191,2,2,FX,BUY,291,241,2026-02-06,PENDING
192,TRD000192,3,3,EQUITY,SELL,292,242,2026-02-07,MATCHED
193,TRD000193,4,4,BOND,BUY,293,243,2026-02-08,UNMATCHED
194,TRD000194,5,5,FX,SELL,294,244,2026-02-09,DISPUTED
195,TRD000195,6,6,EQUITY,BUY,295,245,2026-02-10,PENDING
196,TRD000196,7,7,BOND,SELL,296,246,2026-02-11,MATCHED
197,TRD000197,8,8,FX,BUY,297,247,2026-02-12,UNMATCHED
198,TRD000198,9,9,EQUITY,SELL,298,248,2026-02-13,DISPUTED
199,TRD000199,10,10,BOND,BUY,299,249,2026-02-14,PENDING
200,TRD000200,1,1,FX,SELL,300,250,2026-02-15,MATCHED
201,TRD000201,2,2,EQUITY,BUY,301,251,2026-02-16,UNMATCHED
202,TRD000202,3,3,BOND,SELL,302,252,2026-02-17,DISPUTED
203,TRD000203,4,4,FX,BUY,303,253,2026-02-18,PENDING
204,TRD000204,5,5,EQUITY,SELL,304,254,2026-02-19,MATCHED
205,TRD000205,6,6,BOND,BUY,305,255,2026-02-20,UNMATCHED
206,TRD000206,7,7,FX,SELL,306,256,2026-02-01,DISPUTED
207,TRD000207,8,8,EQUITY,BUY,307,257,2026-02-02,PENDING
208,TRD000208,9,9,BOND,SELL,308,258,2026-02-03,MATCHED
209,TRD000209,10,10,FX,BUY,309,259,2026-02-04,UNMATCHED
210,TRD000210,1,1,EQUITY,SELL,310,260,2026-02-05,DISPUTED
211,TRD000211,2,2,BOND,BUY,311,261,2026-02-06,PENDING
212,TRD000212,3,3,FX,SELL,312,262,2026-02-07,MATCHED
213,TRD000213,4,4,EQUITY,BUY,313,263,2026-02-08,UNMATCHED
214,TRD000214,5,5,BOND,SELL,314,264,2026-02-09,DISPUTED
215,TRD000215,6,6,FX,BUY,315,265,2026-02-10,PENDING
216,TRD000216,7,7,EQUITY,SELL,316,266,2026-02-11,MATCHED
217,TRD000217,8,8,BOND,BUY,317,267,2026-02-12,UNMATCHED
218,TRD000218,9,9,FX,SELL,318,268,2026-02-13,DISPUTED
219,TRD000219,10,10,EQUITY,BUY,319,269,2026-02-14,PENDING
220,TRD000220,1,1,BOND,SELL,320,270,2026-02-15,MATCHED
221,TRD000221,2,2,FX,BUY,321,271,2026-02-16,UNMATCHED
222,TRD000222,3,3,EQUITY,SELL,322,272,2026-02-17,DISPUTED
223,TRD000223,4,4,BOND,BUY,323,273,2026-02-18,PENDING
224,TRD000224,5,5,FX,SELL,324,274,2026-02-19,MATCHED
225,TRD000225,6,6,EQUITY,BUY,325,275,2026-02-20,UNMATCHED
226,TRD000226,7,7,BOND,SELL,326,276,2026-02-01,DISPUTED
227,TRD000227,8,8,FX,BUY,327,277,2026-02-02,PENDING
228,TRD000228,9,9,EQUITY,SELL,328,278,2026-02-03,MATCHED
229,TRD000229,10,10,BOND,BUY,329,279,2026-02-04,UNMATCHED
230,TRD000230,1,1,FX,SELL,330,280,2026-02-05,DISPUTED
231,TRD000231,2,2,EQUITY,BUY,331,281,2026-02-06,PENDING
232,TRD000232,3,3,BOND,SELL,332,282,2026-02-07,MATCHED
233,TRD000233,4,4,FX,BUY,333,283,2026-02-08,UNMATCHED
234,TRD000234,5,5,EQUITY,SELL,334,284,2026-02-09,DISPUTED
235,TRD000235,6,6,BOND,BUY,335,285,2026-02-10,PENDING
236,TRD000236,7,7,FX,SELL,336,286,2026-02-11,MATCHED
237,TRD000237,8,8,EQUITY,BUY,337,287,2026-02-12,UNMATCHED
238,TRD000238,9,9,BOND,SELL,338,288,2026-02-13,DISPUTED
239,TRD000239,10,10,FX,BUY,339,289,2026-02-14,PENDING
240,TRD000240,1,1,EQUITY,SELL,340,290,2026-02-15,MATCHED
241,TRD000241,2,2,BOND,BUY,341,291,2026-02-16,UNMATCHED
242,TRD000242,3,3,FX,SELL,342,292,2026-02-17,DISPUTED
243,TRD000243,4,4,EQUITY,BUY,343,293,2026-02-18,PENDING
244,TRD000244,5,5,BOND,SELL,344,294,2026-02-19,MATCHED
245,TRD000245,6,6,FX,BUY,345,295,2026-02-20,UNMATCHED
246,TRD000246,7,7,EQUITY,SELL,346,296,2026-02-01,DISPUTED
247,TRD000247,8,8,BOND,BUY,347,297,2026-02-02,PENDING
248,TRD000248,9,9,FX,SELL,348,298,2026-02-03,MATCHED
249,TRD000249,10,10,EQUITY,BUY,349,299,2026-02-04,UNMATCHED
250,TRD000250,1,1,BOND,SELL,350,300,2026-02-05,DISPUTED
251,TRD000251,2,2,FX,BUY,351,301,2026-03-01,PENDING
252,TRD000252,3,3,EQUITY,SELL,352,302,2026-03-02,MATCHED
253,TRD000253,4,4,BOND,BUY,353,303,2026-03-03,UNMATCHED
254,TRD000254,5,5,FX,SELL,354,304,2026-03-04,DISPUTED
255,TRD000255,6,6,EQUITY,BUY,355,305,2026-03-05,PENDING
256,TRD000256,7,7,BOND,SELL,356,306,2026-03-06,MATCHED
257,TRD000257,8,8,FX,BUY,357,307,2026-03-07,UNMATCHED
258,TRD000258,9,9,EQUITY,SELL,358,308,2026-03-08,DISPUTED
259,TRD000259,10,10,BOND,BUY,359,309,2026-03-09,PENDING
260,TRD000260,1,1,FX,SELL,360,310,2026-03-10,MATCHED
261,TRD000261,2,2,EQUITY,BUY,361,311,2026-03-11,UNMATCHED
262,TRD000262,3,3,BOND,SELL,362,312,2026-03-12,DISPUTED
263,TRD000263,4,4,FX,BUY,363,313,2026-03-13,PENDING
264,TRD000264,5,5,EQUITY,SELL,364,314,2026-03-14,MATCHED
265,TRD000265,6,6,BOND,BUY,365,315,2026-03-15,UNMATCHED
266,TRD000266,7,7,FX,SELL,366,316,2026-03-16,DISPUTED
267,TRD000267,8,8,EQUITY,BUY,367,317,2026-03-17,PENDING
268,TRD000268,9,9,BOND,SELL,368,318,2026-03-18,MATCHED
269,TRD000269,10,10,FX,BUY,369,319,2026-03-19,UNMATCHED
270,TRD000270,1,1,EQUITY,SELL,370,320,2026-03-20,DISPUTED
271,TRD000271,2,2,BOND,BUY,371,321,2026-03-01,PENDING
272,TRD000272,3,3,FX,SELL,372,322,2026-03-02,MATCHED
273,TRD000273,4,4,EQUITY,BUY,373,323,2026-03-03,UNMATCHED
274,TRD000274,5,5,BOND,SELL,374,324,2026-03-04,DISPUTED
275,TRD000275,6,6,FX,BUY,375,325,2026-03-05,PENDING
276,TRD000276,7,7,EQUITY,SELL,376,326,2026-03-06,MATCHED
277,TRD000277,8,8,BOND,BUY,377,327,2026-03-07,UNMATCHED
278,TRD000278,9,9,FX,SELL,378,328,2026-03-08,DISPUTED
279,TRD000279,10,10,EQUITY,BUY,379,329,2026-03-09,PENDING
280,TRD000280,1,1,BOND,SELL,380,330,2026-03-10,MATCHED
281,TRD000281,2,2,FX,BUY,381,331,2026-03-11,UNMATCHED
282,TRD000282,3,3,EQUITY,SELL,382,332,2026-03-12,DISPUTED
283,TRD000283,4,4,BOND,BUY,383,333,2026-03-13,PENDING
284,TRD000284,5,5,FX,SELL,384,334,2026-03-14,MATCHED
285,TRD000285,6,6,EQUITY,BUY,385,335,2026-03-15,UNMATCHED
286,TRD000286,7,7,BOND,SELL,386,336,2026-03-16,DISPUTED
287,TRD000287,8,8,FX,BUY,387,337,2026-03-17,PENDING
288,TRD000288,9,9,EQUITY,SELL,388,338,2026-03-18,MATCHED
289,TRD000289,10,10,BOND,BUY,389,339,2026-03-19,UNMATCHED
290,TRD000290,1,1,FX,SELL,390,340,2026-03-20,DISPUTED
291,TRD000291,2,2,EQUITY,BUY,391,341,2026-03-01,PENDING
292,TRD000292,3,3,BOND,SELL,392,342,2026-03-02,MATCHED
293,TRD000293,4,4,FX,BUY,393,343,2026-03-03,UNMATCHED
294,TRD000294,5,5,EQUITY,SELL,394,344,2026-03-04,DISPUTED
295,TRD000295,6,6,BOND,BUY,395,345,2026-03-05,PENDING
296,TRD000296,7,7,FX,SELL,396,346,2026-03-06,MATCHED
297,TRD000297,8,8,EQUITY,BUY,397,347,2026-03-07,UNMATCHED
298,TRD000298,9,9,BOND,SELL,398,348,2026-03-08,DISPUTED
299,TRD000299,10,10,FX,BUY,399,349,2026-03-09,PENDING
300,TRD000300,1,1,EQUITY,SELL,400,350,2026-03-10,MATCHED
301,TRD000301,2,2,BOND,BUY,401,351,2026-03-11,UNMATCHED
302,TRD000302,3,3,FX,SELL,402,352,2026-03-12,DISPUTED
303,TRD000303,4,4,EQUITY,BUY,403,353,2026-03-13,PENDING
304,TRD000304,5,5,BOND,SELL,404,354,2026-03-14,MATCHED
305,TRD000305,6,6,FX,BUY,405,355,2026-03-15,UNMATCHED
306,TRD000306,7,7,EQUITY,SELL,406,356,2026-03-16,DISPUTED
307,TRD000307,8,8,BOND,BUY,407,357,2026-03-17,PENDING
308,TRD000308,9,9,FX,SELL,408,358,2026-03-18,MATCHED
309,TRD000309,10,10,EQUITY,BUY,409,359,2026-03-19,UNMATCHED
310,TRD000310,1,1,BOND,SELL,410,360,2026-03-20,DISPUTED
311,TRD000311,2,2,FX,BUY,411,361,2026-03-01,PENDING
312,TRD000312,3,3,EQUITY,SELL,412,362,2026-03-02,MATCHED
313,TRD000313,4,4,BOND,BUY,413,363,2026-03-03,UNMATCHED
314,TRD000314,5,5,FX,SELL,414,364,2026-03-04,DISPUTED
315,TRD000315,6,6,EQUITY,BUY,415,365,2026-03-05,PENDING
316,TRD000316,7,7,BOND,SELL,416,366,2026-03-06,MATCHED
317,TRD000317,8,8,FX,BUY,417,367,2026-03-07,UNMATCHED
318,TRD000318,9,9,EQUITY,SELL,418,368,2026-03-08,DISPUTED
319,TRD000319,10,10,BOND,BUY,419,369,2026-03-09,PENDING
320,TRD000320,1,1,FX,SELL,420,370,2026-03-10,MATCHED
321,TRD000321,2,2,EQUITY,BUY,421,371,2026-03-11,UNMATCHED
322,TRD000322,3,3,BOND,SELL,422,372,2026-03-12,DISPUTED
323,TRD000323,4,4,FX,BUY,423,373,2026-03-13,PENDING
324,TRD000324,5,5,EQUITY,SELL,424,374,2026-03-14,MATCHED
325,TRD000325,6,6,BOND,BUY,425,375,2026-03-15,UNMATCHED
326,TRD000326,7,7,FX,SELL,426,376,2026-03-16,DISPUTED
327,TRD000327,8,8,EQUITY,BUY,427,377,2026-03-17,PENDING
328,TRD000328,9,9,BOND,SELL,428,378,2026-03-18,MATCHED
329,TRD000329,10,10,FX,BUY,429,379,2026-03-19,UNMATCHED
330,TRD000330,1,1,EQUITY,SELL,430,380,2026-03-20,DISPUTED
331,TRD000331,2,2,BOND,BUY,431,381,2026-03-01,PENDING
332,TRD000332,3,3,FX,SELL,432,382,2026-03-02,MATCHED
333,TRD000333,4,4,EQUITY,BUY,433,383,2026-03-03,UNMATCHED
334,TRD000334,5,5,BOND,SELL,434,384,2026-03-04,DISPUTED
335,TRD000335,6,6,FX,BUY,435,385,2026-03-05,PENDING
336,TRD000336,7,7,EQUITY,SELL,436,386,2026-03-06,MATCHED
337,TRD000337,8,8,BOND,BUY,437,387,2026-03-07,UNMATCHED
338,TRD000338,9,9,FX,SELL,438,388,2026-03-08,DISPUTED
339,TRD000339,10,10,EQUITY,BUY,439,389,2026-03-09,PENDING
340,TRD000340,1,1,BOND,SELL,440,390,2026-03-10,MATCHED
341,TRD000341,2,2,FX,BUY,441,391,2026-03-11,UNMATCHED
342,TRD000342,3,3,EQUITY,SELL,442,392,2026-03-12,DISPUTED
343,TRD000343,4,4,BOND,BUY,443,393,2026-03-13,PENDING
344,TRD000344,5,5,FX,SELL,444,394,2026-03-14,MATCHED
345,TRD000345,6,6,EQUITY,BUY,445,395,2026-03-15,UNMATCHED
346,TRD000346,7,7,BOND,SELL,446,396,2026-03-16,DISPUTED
347,TRD000347,8,8,FX,BUY,447,397,2026-03-17,PENDING
348,TRD000348,9,9,EQUITY,SELL,448,398,2026-03-18,MATCHED
349,TRD000349,10,10,BOND,BUY,449,399,2026-03-19,UNMATCHED
350,TRD000350,1,1,FX,SELL,450,400,2026-03-20,DISPUTED
351,TRD000351,2,2,EQUITY,BUY,451,401,2026-03-01,PENDING
352,TRD000352,3,3,BOND,SELL,452,402,2026-03-02,MATCHED
353,TRD000353,4,4,FX,BUY,453,403,2026-03-03,UNMATCHED
354,TRD000354,5,5,EQUITY,SELL,454,404,2026-03-04,DISPUTED
355,TRD000355,6,6,BOND,BUY,455,405,2026-03-05,PENDING
356,TRD000356,7,7,FX,SELL,456,406,2026-03-06,MATCHED
357,TRD000357,8,8,EQUITY,BUY,457,407,2026-03-07,UNMATCHED
358,TRD000358,9,9,BOND,SELL,458,408,2026-03-08,DISPUTED
359,TRD000359,10,10,FX,BUY,459,409,2026-03-09,PENDING
360,TRD000360,1,1,EQUITY,SELL,460,410,2026-03-10,MATCHED
361,TRD000361,2,2,BOND,BUY,461,411,2026-03-11,UNMATCHED
362,TRD000362,3,3,FX,SELL,462,412,2026-03-12,DISPUTED
363,TRD000363,4,4,EQUITY,BUY,463,413,2026-03-13,PENDING
364,TRD000364,5,5,BOND,SELL,464,414,2026-03-14,MATCHED
365,TRD000365,6,6,FX,BUY,465,415,2026-03-15,UNMATCHED
366,TRD000366,7,7,EQUITY,SELL,466,416,2026-03-16,DISPUTED
367,TRD000367,8,8,BOND,BUY,467,417,2026-03-17,PENDING
